,System,Filename,L,h,c,Combined
0,ystems/systems/ChromaGAN,1800031,0.901648180172613,0.6668886443549165,0.6230362275053418,0.4529797258438889
1,ystems/systems/ChromaGAN,1803061,0.8722082763306394,0.512116515179494,0.5283566732134815,0.27099034584148435
2,ystems/systems/ChromaGAN,1800976,0.94475664387148,0.5225455003113563,0.5048715346411567,0.28499430791341285
3,ystems/systems/ChromaGAN,1800341,0.935522551019969,0.6260520138058246,0.7472702983029695,0.4881434271306908
4,ystems/systems/ChromaGAN,1801880,0.9300827524997162,0.6692969059297409,0.5851217738131115,0.39961423600129914
5,ystems/systems/ChromaGAN,1802243,0.9158347966814473,0.5112274263017519,0.5372755695865714,0.2902513211737555
6,ystems/systems/ChromaGAN,1801391,0.8868960972414422,0.5052969272992403,0.7354531625665173,0.3855940022962404
7,ystems/systems/ChromaGAN,1801390,0.9464220905369495,0.49432357248307873,0.4821546631362702,0.2447206504296756
8,ystems/systems/ChromaGAN,1800065,0.9598384363565539,0.5930324099586495,0.6424562033860166,0.4107868432799596
9,ystems/systems/ChromaGAN,1800488,0.9150803143038425,0.5378910866109192,0.6387780143430426,0.360795900662518
10,ystems/systems/ChromaGAN,1800847,0.9197947669932186,0.6288222247774619,0.668201897442674,0.43660295420950157
11,ystems/systems/ChromaGAN,1801754,0.9000922063993243,0.535355983390489,0.6119085396191357,0.33196990082991995
12,ystems/systems/ChromaGAN,1801590,0.9158579695222203,0.5245370588922712,0.6473410930378384,0.37393342107430877
13,ystems/systems/ChromaGAN,1801802,0.9612080105279139,0.5588617764036296,0.4004810473921503,0.2221434033810878
14,ystems/systems/ChromaGAN,1801250,0.9053985904788838,0.6731684510915107,0.7295347646673116,0.5023877700613143
15,ystems/systems/ChromaGAN,1803120,0.9536977337578314,0.6710594081728396,0.7025706255809563,0.4892678221810151
16,ystems/systems/ChromaGAN,1800566,0.9386370871543757,0.5800860256708847,0.687393042650464,0.4090254298850612
17,ystems/systems/ChromaGAN,1800572,0.9240454790672364,0.49804796539223856,0.5695705547594516,0.2767508064446807
18,ystems/systems/ChromaGAN,1803133,0.9235215144104542,0.6459915108251986,0.7255205982049966,0.49537237353876784
19,ystems/systems/ChromaGAN,1800188,0.9187638280646147,0.5051438390410626,0.5010750789509986,0.28385612935325444
20,ystems/systems/deoldStable30,1800031,0.9052899665478547,0.7274854480233,0.6251756461091843,0.5178544810393667
21,ystems/systems/deoldStable30,1803061,0.9177363853917598,0.5954451676024811,0.5846770039843352,0.3499704167312076
22,ystems/systems/deoldStable30,1800976,0.9482813425684126,0.572763230752555,0.4696159563935971,0.2570262611821017
23,ystems/systems/deoldStable30,1800341,0.9469420605497934,0.6192871532303446,0.6664756026570952,0.42231073131020724
24,ystems/systems/deoldStable30,1801880,0.908793184243314,0.7319240752938707,0.7139121088364037,0.5230771308186211
25,ystems/systems/deoldStable30,1802243,0.9394574679448773,0.6401584343856391,0.5910374309060643,0.38436849110627525
26,ystems/systems/deoldStable30,1801391,0.9211834160629457,0.5884481490565932,0.7655776560779315,0.45263451746788785
27,ystems/systems/deoldStable30,1801390,0.9669930062734943,0.40131926995741035,0.24383292627749703,0.09094997064763148
28,ystems/systems/deoldStable30,1800065,0.9554378640330996,0.6252842126913148,0.653222019750553,0.4309441081538481
29,ystems/systems/deoldStable30,1800488,0.9442303200678199,0.6839110545433277,0.7437654114628847,0.5176867570704755
30,ystems/systems/deoldStable30,1800847,0.9518906783651696,0.6850843326783684,0.5736237734476152,0.4235903347463517
31,ystems/systems/deoldStable30,1801754,0.919829127851777,0.5717991193866023,0.6402476744237067,0.37392144574406033
32,ystems/systems/deoldStable30,1801590,0.9381206093404616,0.5352738058259743,0.2663248158295093,0.1619038577942568
33,ystems/systems/deoldStable30,1801802,0.9654767554459065,0.6363632113605981,0.37895702477651916,0.2464434660272431
34,ystems/systems/deoldStable30,1801250,0.9233719909781262,0.6482071617173486,0.7232711288975506,0.47346010881554346
35,ystems/systems/deoldStable30,1803120,0.9479192163404506,0.658765898159296,0.7162096838694627,0.472645727478326
36,ystems/systems/deoldStable30,1800566,0.9411720266958975,0.6094667356160668,0.5801186101946963,0.3502201421326639
37,ystems/systems/deoldStable30,1800572,0.9359049304250193,0.6464088162804653,0.590063566706414,0.37556348472966616
38,ystems/systems/deoldStable30,1803133,0.9343039817289986,0.6738645266509153,0.7378459494107547,0.5110760063464839
39,ystems/systems/deoldStable30,1800188,0.9472224502999849,0.7045610949517005,0.6424527455119919,0.46832071554790117
40,ystems/systems/iizuka,1800031,0.980625060983471,0.7287720177196726,0.6441580794867272,0.5165523095235746
41,ystems/systems/iizuka,1803061,0.9896730933847678,0.5265933123312311,0.5651284792634927,0.2941482302428999
42,ystems/systems/iizuka,1800976,0.9873968672816016,0.5286303827640945,0.46496808782542676,0.22793814918013428
43,ystems/systems/iizuka,1800341,0.9815163400535029,0.6059317448377393,0.7135399987528732,0.45091613216146875
44,ystems/systems/iizuka,1801880,0.9864213873391234,0.5815270140703301,0.6039544301879695,0.36279605564571926
45,ystems/systems/iizuka,1802243,0.9871937700677156,0.4617853583035295,0.5986635148089668,0.2864249050475279
46,ystems/systems/iizuka,1801391,0.9880617522992754,0.5459048792659937,0.6887675469024722,0.38667703708894385
47,ystems/systems/iizuka,1801390,0.9916484693686174,0.44469714343387023,0.33250600636422917,0.13914650230182438
48,ystems/systems/iizuka,1800065,0.986789899922045,0.628378545516894,0.6546159305455705,0.4271834844866514
49,ystems/systems/iizuka,1800488,0.9853476034441898,0.5737145525905302,0.7781220841296064,0.46819934730904567
50,ystems/systems/iizuka,1800847,0.9900863963751169,0.6718869704748067,0.749475287126489,0.5311868518613669
51,ystems/systems/iizuka,1801754,0.9854053790185119,0.48986423946281465,0.6317093604598099,0.29426633947984115
52,ystems/systems/iizuka,1801590,0.9860711358070989,0.5693748345164908,0.5182663060137749,0.3128988326830215
53,ystems/systems/iizuka,1801802,0.9891732759493608,0.631073618373713,0.5116282272026325,0.32152518737643593
54,ystems/systems/iizuka,1801250,0.9829847622072256,0.5489154742752751,0.7302733034150385,0.41200522248486976
55,ystems/systems/iizuka,1803120,0.9849724874095023,0.7104594454361698,0.8473682019445467,0.6227764471898861
56,ystems/systems/iizuka,1800566,0.9847318574585954,0.49667147114448895,0.6251522949393219,0.301883850972793
57,ystems/systems/iizuka,1800572,0.98667745359392,0.46667619730360466,0.6776126807020286,0.31065187639549546
58,ystems/systems/iizuka,1803133,0.9857566198669128,0.5088238861208593,0.7670599398519129,0.4089067771678445
59,ystems/systems/iizuka,1800188,0.9876908655245009,0.5816475087192245,0.5999292558321618,0.3653749423473523
60,ystems/systems/larsson,1800031,0.9765331190232659,0.6327795925130024,0.4657619486601773,0.32799717624439245
61,ystems/systems/larsson,1803061,0.9869067734452964,0.46663385563838156,0.49958222688785575,0.23249562871760276
